-,-,-
-506, -305, 867
-507, -317, 955
-513, -343, 1053
-548, -341, 1094
-610, -365, 1141
-696, -366, 1181
-768, -362, 1276
-823, -348, 1308
-870, -368, 1331
-935, -418, 1384
-959, -425, 1364
-985, -432, 1226
-1020, -404, 1078
-1045, -360, 945
-1044, -314, 844
-1042, -269, 745
-1015, -267, 648
-988, -249, 520
-988, -249, 520
-937, -190, 401
-838, -142, 281
-748, -107, 153
-666, -61, 17
-556, -20, -112
-406, 9, -174
-260, -12, -107
-117, 1, -68
24, 30, -34
24, 30, -34
119, 61, -31
206, 49, 28
206, 49, 28
324, 6, 141
416, 5, 223
433, -5, 273
433, -5, 273
434, -35, 302
445, -124, 370
531, -184, 518
604, -196, 688
661, -227, 865
747, -233, 1132
752, -260, 1335
752, -260, 1335
673, -309, 1446
595, -393, 1544
554, -515, 1624
543, -628, 1689
553, -698, 1729
554, -707, 1757
597, -697, 1729
-,-,-
-541, -353, 1221
-501, -391, 1307
-476, -450, 1522
-471, -473, 1596
-489, -493, 1613
-510, -505, 1618
-542, -539, 1635
-571, -576, 1632
-610, -613, 1550
-654, -612, 1393
-700, -596, 1193
-740, -560, 973
-755, -509, 817
-735, -441, 703
-707, -378, 569
-678, -307, 452
-634, -233, 341
-593, -139, 240
-564, -40, 114
-486, 22, 46
-401, 38, 71
-401, 38, 71
-355, 36, 51
-285, 61, -8
-183, 56, -4
-183, 56, 103
-58, 17, 103
54, -49, 212
148, -105, 293
174, -97, 282
189, -61, 225
189, -61, 225
293, -37, 285
433, -12, 405
551, 6, 468
611, 13, 484
611, 13, 484
616, -4, 522
636, -72, 611
682, -139, 795
704, -271, 997
806, -336, 1261
806, -336, 1261
950, -387, 1615
1100, -483, 1933
-,-,-
-157, -388, 1366
-114, -415, 1533
-122, -402, 1549
-144, -388, 1548
-159, -353, 1603
-192, -367, 1626
-213, -398, 1633
-281, -412, 1536
-376, -426, 1441
-451, -432, 1282
-497, -471, 1158
-512, -511, 1098
-535, -518, 1019
-529, -482, 865
-524, -395, 667
-525, -313, 479
-520, -265, 306
-501, -187, 129
-501, -187, 129
-492, -102, 20
-440, -41, 4
-358, -75, 104
-241, -103, 166
-120, -104, 162
17, -88, 151
159, 39, 72
159, 39, 72
283, 138, 17
423, 177, 81
505, 142, 229
505, 142, 229
552, 131, 313
570, 115, 309
610, 48, 436
674, -11, 671
674, -11, 671
703, -8, 835
704, 11, 905
676, -24, 991
618, -140, 1098
643, -232, 1314
704, -247, 1486
724, -300, 1585
724, -300, 1585
714, -373, 1658
-,-,-
-148, -343, 1494
-79, -403, 1638
-84, -437, 1756
-69, -388, 1757
-89, -350, 1755
-112, -349, 1785
-144, -405, 1776
-207, -436, 1619
-272, -430, 1476
-318, -437, 1376
-363, -420, 1226
-406, -425, 1091
-401, -384, 969
-401, -341, 841
-420, -289, 738
-421, -267, 689
-384, -180, 621
-385, -116, 511
-385, -116, 511
-377, -48, 447
-349, -30, 394
-305, -38, 400
-289, -68, 390
-274, -80, 353
-254, -37, 293
-180, 25, 287
-109, 76, 286
-109, 76, 286
-72, 123, 257
-41, 123, 228
19, 104, 247
136, 129, 336
136, 129, 336
240, 121, 405
271, 125, 401
293, 133, 430
315, 124, 456
353, 65, 484
353, 65, 484
434, 9, 599
484, -32, 695
530, -94, 785
591, -120, 873
591, -120, 873
641, -104, 1007
688, -97, 1113
693, -116, 1119
739, -144, 1404
839, -159, 1433
954, -266, 1781
-,-,-
-262, -309, 1366
-232, -322, 1413
-212, -332, 1579
-195, -316, 1643
-168, -289, 1732
-139, -313, 1871
-164, -342, 1903
-216, -388, 1828
-306, -465, 1665
-378, -552, 1529
-456, -620, 1396
-503, -618, 1236
-554, -590, 1049
-594, -537, 891
-609, -481, 756
-613, -438, 610
-646, -412, 435
-663, -366, 260
-633, -270, 113
-542, -182, 20
-413, -129, -8
-273, -58, 18
-273, -58, 18
-173, -18, 22
-61, 23, 54
24, 65, 67
82, 101, 59
82, 101, 59
156, 149, 87
214, 163, 172
244, 125, 251
244, 125, 251
304, 109, 319
358, 97, 357
401, 67, 384
490, 56, 492
490, 56, 492
588, 34, 582
680, -12, 689
702, -53, 759
690, -86, 807
690, -86, 807
702, -150, 963
810, -190, 1238
949, -228, 1553
1099, -244, 1933
1177, -292, 1998
-,-,-
3, -309, 1819
-29, -390, 1824
-62, -476, 1771
-159, -575, 1618
-234, -662, 1632
-300, -700, 1540
-339, -636, 1410
-363, -544, 1269
-399, -507, 1214
-431, -486, 1157
-443, -485, 1076
-444, -461, 1008
-467, -441, 946
-489, -415, 845
-487, -382, 728
-494, -329, 612
-493, -241, 482
-459, -149, 356
-412, -94, 283
-385, -55, 197
-367, -31, 116
-367, -31, 116
-317, -76, 101
-230, -87, 134
-172, -39, 116
-133, 4, 90
-23, 92, 104
-23, 92, 104
98, 180, 189
163, 214, 305
226, 179, 401
292, 123, 493
322, 57, 570
322, 57, 570
360, -9, 641
423, -63, 731
448, -86, 772
448, -86, 772
493, -112, 848
579, -103, 974
614, -54, 1050
601, -15, 1020
603, -28, 1079
659, -41, 1192
691, -69, 1402
687, -80, 1410
687, -80, 1410
662, -122, 1454
676, -146, 1489
679, -177, 1518
667, -185, 1474
644, -168, 1433
653, -205, 1479
-,-,-
-17, -278, 1246
-43, -288, 1337
-67, -295, 1467
-66, -301, 1586
-60, -304, 1691
-78, -293, 1777
-129, -312, 1791
-218, -370, 1699
-302, -460, 1593
-380, -529, 1450
-445, -547, 1293
-493, -513, 1142
-515, -465, 1000
-547, -445, 869
-548, -407, 785
-538, -380, 708
-518, -344, 615
-496, -299, 501
-496, -299, 501
-491, -266, 384
-470, -205, 276
-421, -153, 210
-334, -102, 174
-239, -16, 130
-168, 8, 162
-102, 15, 183
-32, -20, 230
-32, -20, 230
26, -16, 264
44, 5, 250
118, 39, 270
243, 93, 337
243, 93, 337
310, 134, 398
342, 119, 424
396, 101, 491
485, 93, 620
485, 93, 620
565, 100, 720
573, 120, 774
553, 129, 791
636, 163, 921
636, 163, 921
656, 155, 1035
629, 84, 1123
617, -26, 1178
624, -173, 1466
639, -214, 1444
705, -265, 1669
754, -303, 1791
734, -309, 1838
685, -250, 1785
-,-,-
-141, -160, 1326
-96, -178, 1514
